strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score,oi_diff_strike,symbol
50800,0.0,8.95,0.0,0.0,1.0,13.0,0.0,0.0,0.0,8.95,-12.0,14.0,6300.0,0.0022218695445167433,8.0,BANKNIFTY
50900,0.0,9.05,0.0,0.0,1.0,19.0,0.0,1.0,0.0,9.05,-18.0,20.0,6200.0,0.0032252862441541686,6.0,BANKNIFTY
51000,8940.0,10.0,0.0,0.0,648.4285714285714,2568.5714285714284,0.0,-45.714285714285715,8940.0,10.0,-1920.1428571428569,3217.0,6100.0,0.5272906080970333,3197.0,BANKNIFTY
51100,0.0,9.3,0.0,0.0,1.0,16.0,0.0,-7.0,0.0,9.3,-15.0,17.0,6000.0,0.0028328611898017,3200.0,BANKNIFTY
51200,0.0,9.25,0.0,0.0,1.0,27.0,0.0,-5.0,0.0,9.25,-26.0,28.0,5900.0,0.004744958481613286,11.0,BANKNIFTY
51300,0.0,8.7,0.0,0.0,1.0,22.0,0.0,0.0,0.0,8.7,-21.0,23.0,5800.0,0.0039648336493707985,5.0,BANKNIFTY
51400,0.0,10.0,0.0,0.0,1.0,83.0,0.0,9.0,0.0,10.0,-82.0,84.0,5700.0,0.014734257147868794,61.0,BANKNIFTY
51500,0.0,9.75,0.0,0.0,21.0,445.0,0.0,137.0,0.0,9.75,-424.0,466.0,5600.0,0.08319942867345118,382.0,BANKNIFTY
51600,0.0,9.9,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,9.9,-17.0,19.0,5500.0,0.003453917469550991,447.0,BANKNIFTY
51700,0.0,10.1,0.0,0.0,1.0,18.0,0.0,-1.0,0.0,10.1,-17.0,19.0,5400.0,0.003517867061655249,0.0,BANKNIFTY
51800,0.0,10.5,0.0,0.0,3.0,85.0,0.0,58.0,0.0,10.5,-82.0,88.0,5300.0,0.01660064138841728,69.0,BANKNIFTY
51900,0.0,10.2,0.0,0.0,4.0,15.0,0.0,0.0,0.0,10.2,-11.0,19.0,5200.0,0.003653143626225726,69.0,BANKNIFTY
52000,8008.0,11.45,0.0,0.0,856.0,2264.0,-1.0,-89.0,8008.0,11.45,-1408.0,3120.0,5100.0,0.6116447755342089,3101.0,BANKNIFTY
52100,0.0,11.0,0.0,0.0,1.0,29.0,0.0,3.0,0.0,11.0,-28.0,30.0,5000.0,0.00599880023995201,3090.0,BANKNIFTY
52200,0.0,11.0,0.0,0.0,1.0,16.0,0.0,-5.0,0.0,11.0,-15.0,17.0,4900.0,0.0034686798612528057,13.0,BANKNIFTY
52300,0.0,10.0,0.0,0.0,1.0,47.0,0.0,-4.0,0.0,10.0,-46.0,48.0,4800.0,0.009997917100604041,31.0,BANKNIFTY
52400,0.0,10.85,0.0,0.0,1.0,48.0,0.0,1.0,0.0,10.85,-47.0,49.0,4700.0,0.010423314188470539,1.0,BANKNIFTY
52500,7550.0,11.2,0.0,0.0,28.0,1142.4285714285713,0.0,-31.0,7550.0,11.2,-1114.4285714285713,1170.4285714285713,4600.0,0.2543856925513087,1121.4285714285713,BANKNIFTY
52600,0.0,11.25,0.0,0.0,3.0,31.0,0.0,-1.0,0.0,11.25,-28.0,34.0,4500.0,0.007553876916240835,1136.4285714285713,BANKNIFTY
52700,0.0,11.35,0.0,0.0,1.0,28.0,0.0,-1.0,0.0,11.35,-27.0,29.0,4400.0,0.006589411497386958,5.0,BANKNIFTY
52800,0.0,11.55,0.0,0.0,2.0,24.0,0.0,1.0,0.0,11.55,-22.0,26.0,4300.0,0.006045105789351314,3.0,BANKNIFTY
52900,0.0,11.25,0.0,0.0,2.0,69.0,0.0,14.0,0.0,11.25,-67.0,71.0,4200.0,0.016900737919542965,45.0,BANKNIFTY
53000,6886.35,11.9,0.0,0.0,851.0,4264.0,-2.0,-71.0,6886.35,11.9,-3413.0,5115.0,4100.0,1.2472567666422825,5044.0,BANKNIFTY
53100,0.0,12.0,0.0,0.0,3.0,28.0,0.0,1.0,0.0,12.0,-25.0,31.0,4000.0,0.007748062984253936,5084.0,BANKNIFTY
53200,0.0,11.1,0.0,0.0,2.0,55.0,0.0,0.0,0.0,11.1,-53.0,57.0,3900.0,0.014611638041527814,26.0,BANKNIFTY
53300,0.0,10.2,0.0,0.0,2.0,75.0,0.0,-4.0,0.0,10.2,-73.0,77.0,3800.0,0.020257826887661142,20.0,BANKNIFTY
53400,0.0,13.05,0.0,0.0,2.0,43.0,0.0,0.0,0.0,13.05,-41.0,45.0,3700.0,0.012158875979465009,32.0,BANKNIFTY
53500,0.0,13.7,0.0,0.0,105.0,1896.0,0.0,266.0,0.0,13.7,-1791.0,2001.0,3600.0,0.5556789780616496,1956.0,BANKNIFTY
