strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff
60700,329.15,951.7,0.0,0.0,3010.0,396.0,235.0,122.0,329.15,951.7,2614.0
60800,294.6,1019.4,0.0,0.0,3528.0,305.0,520.0,13.0,294.6,1019.4,3223.0
60900,263.25,1084.9,0.0,0.0,2691.0,732.0,650.0,63.0,263.25,1084.9,1959.0
61000,235.2,1150.15,0.0,0.0,21055.0,3565.0,480.0,111.0,235.2,1150.15,17490.0
61100,210.0,1222.5,0.0,0.0,1996.0,347.0,440.0,171.0,210.0,1222.5,1649.0
61200,186.35,1302.0,0.0,0.0,2824.0,134.0,695.0,7.0,186.35,1302.0,2690.0
61300,164.55,1407.55,0.0,0.0,2128.0,88.0,374.0,0.0,164.55,1407.55,2040.0
61400,146.75,1582.85,0.0,0.0,1416.0,100.0,-271.0,8.0,146.75,1582.85,1316.0
61500,130.15,1554.9,0.0,0.0,13856.0,607.0,-601.0,70.0,130.15,1554.9,13249.0
61600,115.0,1753.7,0.0,0.0,1450.0,125.0,111.0,11.0,115.0,1753.7,1325.0
61700,101.85,1840.7,0.0,0.0,1998.0,96.0,152.0,11.0,101.85,1840.7,1902.0
61800,88.95,1930.25,0.0,0.0,2315.0,122.0,-433.0,0.0,88.95,1930.25,2193.0
61900,78.9,2019.15,0.0,0.0,1273.0,10.0,98.0,0.0,78.9,2019.15,1263.0
62000,69.75,1978.2,0.0,0.0,20951.0,2148.0,1359.0,133.0,69.75,1978.2,18803.0
62100,62.1,0.0,0.0,0.0,1378.0,6.0,-46.0,0.0,62.1,0.0,1372.0
62200,54.6,0.0,0.0,0.0,2364.0,3.0,124.0,0.0,54.6,0.0,2361.0
62300,49.45,0.0,0.0,0.0,2021.0,5.0,190.0,0.0,49.45,0.0,2016.0
62400,44.75,0.0,0.0,0.0,1248.0,4.0,-117.0,0.0,44.75,0.0,1244.0
62500,39.45,0.0,0.0,0.0,8952.0,10.0,1884.0,0.0,39.45,0.0,8942.0
62600,37.4,0.0,0.0,0.0,1406.0,5.0,89.0,0.0,37.4,0.0,1401.0
62700,32.0,0.0,0.0,0.0,751.0,5.0,165.0,0.0,32.0,0.0,746.0
62800,29.15,0.0,0.0,0.0,696.0,4.0,91.0,0.0,29.15,0.0,692.0
62900,28.0,0.0,0.0,0.0,769.0,2.0,163.0,0.0,28.0,0.0,767.0
63000,26.6,2934.0,0.0,0.0,22835.0,1160.0,1704.0,-13.0,26.6,2934.0,21675.0
63100,22.0,0.0,0.0,0.0,705.0,2.0,83.0,0.0,22.0,0.0,703.0
63200,21.25,0.0,0.0,0.0,470.0,7.0,-21.0,0.0,21.25,0.0,463.0
63300,21.1,0.0,0.0,0.0,494.0,1.0,14.0,0.0,21.1,0.0,493.0
63400,19.25,0.0,0.0,0.0,208.0,0.0,23.0,0.0,19.25,0.0,208.0
63500,17.4,3435.0,0.0,0.0,5222.0,3.0,2.0,0.0,17.4,3435.0,5219.0
63600,18.05,0.0,0.0,0.0,335.0,0.0,-35.0,0.0,18.05,0.0,335.0
63700,16.8,0.0,0.0,0.0,249.0,0.0,-27.0,0.0,16.8,0.0,249.0
63800,16.75,0.0,0.0,0.0,209.0,0.0,28.0,0.0,16.75,0.0,209.0
63900,15.0,0.0,0.0,0.0,260.0,0.0,-17.0,0.0,15.0,0.0,260.0
64000,14.15,3936.7,0.0,0.0,13350.0,540.0,-2558.0,4.0,14.15,3936.7,12810.0
64100,13.9,0.0,0.0,0.0,233.0,1.0,-26.0,0.0,13.9,0.0,232.0
64200,13.35,0.0,0.0,0.0,73.0,2.0,12.0,0.0,13.35,0.0,71.0
64300,12.75,0.0,0.0,0.0,45.0,1.0,-144.0,0.0,12.75,0.0,44.0
64400,11.45,0.0,0.0,0.0,66.0,0.0,23.0,0.0,11.45,0.0,66.0
64500,11.7,0.0,0.0,0.0,3400.0,34.0,-191.0,0.0,11.7,0.0,3366.0
64600,12.5,0.0,0.0,0.0,68.0,0.0,8.0,0.0,12.5,0.0,68.0
64700,12.2,0.0,0.0,0.0,85.0,0.0,14.0,0.0,12.2,0.0,85.0
64800,9.9,0.0,0.0,0.0,39.0,0.0,11.0,0.0,9.9,0.0,39.0
65000,10.85,4950.0,0.0,0.0,10779.0,713.0,368.0,2.0,10.85,4950.0,10066.0
65500,9.0,0.0,0.0,0.0,641.0,1.0,-65.0,0.0,9.0,0.0,640.0
66000,7.6,6275.0,0.0,0.0,2567.0,262.0,-48.0,0.0,7.6,6275.0,2305.0
66500,5.45,0.0,0.0,0.0,3446.0,0.0,81.0,0.0,5.45,0.0,3446.0
67000,5.0,0.0,0.0,0.0,7532.0,238.0,673.0,0.0,5.0,0.0,7294.0
67500,5.25,0.0,0.0,0.0,646.0,0.0,168.0,0.0,5.25,0.0,646.0
