strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score
54700,0.0,14.45,0.0,0.0,53.0,135.0,0.0,-2.0,0.0,14.45,-82.0,188.0,2400.0,0.07830070803831737
63200,21.25,0.0,0.0,0.0,470.0,7.0,-21.0,0.0,21.25,0.0,463.0,477.0,6100.0,0.07818390427798722
65500,9.0,0.0,0.0,0.0,641.0,1.0,-65.0,0.0,9.0,0.0,640.0,642.0,8400.0,0.07641947387215807
54800,0.0,18.1,0.0,0.0,30.0,132.0,0.0,24.0,0.0,18.1,-102.0,162.0,2300.0,0.07040417209908735
50500,0.0,8.0,0.0,0.0,19.0,444.0,0.0,1.0,0.0,8.0,-425.0,463.0,6600.0,0.07014088774428116
67500,5.25,0.0,0.0,0.0,646.0,0.0,168.0,0.0,5.25,0.0,646.0,646.0,10400.0,0.06210941255648495
54200,0.0,15.55,0.0,0.0,51.0,107.0,0.0,0.0,0.0,15.55,-56.0,158.0,2900.0,0.05446397793864185
46500,0.0,5.25,0.0,0.0,0.0,563.0,0.0,199.0,0.0,5.25,-563.0,563.0,10600.0,0.0531081973398736
63600,18.05,0.0,0.0,0.0,335.0,0.0,-35.0,0.0,18.05,0.0,335.0,335.0,6500.0,0.0515305337640363
47000,0.0,6.2,0.0,0.0,0.0,411.0,0.0,16.0,0.0,6.2,-411.0,411.0,10100.0,0.04068904068904069
47500,0.0,6.85,0.0,0.0,0.0,389.0,0.0,4.0,0.0,6.85,-389.0,389.0,9600.0,0.04051661285282783
63900,15.0,0.0,0.0,0.0,260.0,0.0,-17.0,0.0,15.0,0.0,260.0,260.0,6800.0,0.03822967210704308
63700,16.8,0.0,0.0,0.0,249.0,0.0,-27.0,0.0,16.8,0.0,249.0,249.0,6600.0,0.037721557339797
64100,13.9,0.0,0.0,0.0,233.0,1.0,-26.0,0.0,13.9,0.0,232.0,234.0,7000.0,0.033423796600485646
63400,19.25,0.0,0.0,0.0,208.0,0.0,23.0,0.0,19.25,0.0,208.0,208.0,6300.0,0.033010633232820184
63800,16.75,0.0,0.0,0.0,209.0,0.0,28.0,0.0,16.75,0.0,209.0,209.0,6700.0,0.031189374720191017
54600,0.0,17.35,0.0,0.0,8.0,67.0,0.0,-6.0,0.0,17.35,-59.0,75.0,2500.0,0.029988004798080767
53900,0.0,14.0,0.0,0.0,4.0,84.0,0.0,-15.0,0.0,14.0,-80.0,88.0,3200.0,0.027491408934707903
53600,0.0,13.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,13.0,-20.0,80.0,3500.0,0.022850614110254214
54300,0.0,15.75,0.0,0.0,4.0,57.0,0.0,-4.0,0.0,15.75,-53.0,61.0,2800.0,0.021777936451267403
53300,0.0,10.2,0.0,0.0,2.0,75.0,0.0,-4.0,0.0,10.2,-73.0,77.0,3800.0,0.020257826887661142
54100,0.0,15.45,0.0,0.0,4.0,56.0,0.0,3.0,0.0,15.45,-52.0,60.0,3000.0,0.019993335554815063
52900,0.0,11.25,0.0,0.0,2.0,69.0,0.0,14.0,0.0,11.25,-67.0,71.0,4200.0,0.016900737919542965
51800,0.0,10.5,0.0,0.0,3.0,85.0,0.0,58.0,0.0,10.5,-82.0,88.0,5300.0,0.01660064138841728
49500,0.0,7.0,0.0,0.0,12.0,107.0,0.0,-5.0,0.0,7.0,-95.0,119.0,7600.0,0.015655834758584397
51400,0.0,10.0,0.0,0.0,1.0,83.0,0.0,9.0,0.0,10.0,-82.0,84.0,5700.0,0.014734257147868794
53200,0.0,11.1,0.0,0.0,2.0,55.0,0.0,0.0,0.0,11.1,-53.0,57.0,3900.0,0.014611638041527814
48500,0.0,7.35,0.0,0.0,3.0,118.0,0.0,-22.0,0.0,7.35,-115.0,121.0,8600.0,0.014068131612603186
53700,0.0,13.85,0.0,0.0,3.0,44.0,0.0,-3.0,0.0,13.85,-41.0,47.0,3400.0,0.013819464863275507
